numCircumferences,numPoints,noisePercentage,totalError,minError,maxError
1,50,5.0,2.7194632330143618,2.7194632330143618,2.7194632330143618
1,50,5.0,2.660299065183894,2.660299065183894,2.660299065183894
2,200,5.0,3.3533337552698024,0.08044429208674987,3.2728894631830525
2,200,5.0,4.4053563116979975,1.5921630756264122,2.813193236071585
3,500,5.0,5.460667986732499,0.21292138716614067,2.8654010704974024
3,500,5.0,3.030083044426092,0.34265869680967626,1.7725124065213234
4,1500,5.0,2.842703749884518,0.03471031226531986,1.9426009838357559
4,1500,5.0,14.737492853877823,0.06618982398627268,9.238795506594695
5,2500,3.0,2.5304702446539564,0.16660127918563816,0.7374259967691841
5,2500,3.0,1.4398366214928044,0.06588169590522441,0.4844109636573792
6,3000,4.0,45.113705250783795,0.22879870063077815,33.54389003525778
6,3000,4.0,80.34020070926186,0.21182421108093455,51.52016989840235
7,4000,5.0,40.43218595688445,0.05710191987743655,30.189953399405056
7,4000,5.0,8.94238934841747,0.15837324433336544,4.7471174193331755
8,5000,5.0,20.329430658359712,0.23015679366201136,6.960683403945339
8,5000,5.0,24.754660437040236,0.1592094720523251,11.65118056572165
9,5500,2.0,16.156429614453444,0.016260898569532424,4.918151980281893
9,5500,2.0,14.681201497595026,0.08223011228562467,6.987280177343508
10,6000,1.0,20.579236418578553,0.016936395174951,9.343948593071245
10,6000,1.0,11.208441053919389,0.057570379157278584,4.947622565382747
